0,1,2,3,4,5,6,7
2020 issuance of $10.0 billion,2050–2060,2.53%–2.68%,2.53%–2.68%,,"10,000",,"10,000"
2021 issuance of $8.2 billion,2052–2062,2.92%–3.04%,2.92%–3.04%,,"8,185",,"8,185"
Total face value,,,,,"52,866",,"55,511"
Unamortized discount and,,,,,,,
issuance costs,,,,,(438 ),,(471 )
Hedge fair value adjustments (a),,,,,(106 ),,(68 )
Premium on debt exchange,,,,,"(5,085 )",,"(5,191 )"
Total debt,,,,,"47,237",,"49,781"
Current portion of long-term,,,,,,,
debt,,,,,"(5,247 )",,"(2,749 )"
Long-term debt,,,,$,"41,990",,"$   47,032"
