0,1,2,3,4,5,6
General and administrative,,"7,575",,"5,900",,"5,107"
Operating income,,"88,523",,"83,383",,"69,916"
"Other income, net",,788,,333,,"1,186"
Income before income taxes,,"89,311",,"83,716",,"71,102"
Provision for income taxes,,"16,950",,"10,978",,"9,831"
Net income,$,"72,361",$,"72,738",$,"61,271"
Earnings per share:,,,,,,
Basic,$,9.72,$,9.70,$,8.12
Diluted,$,9.68,$,9.65,$,8.05
Weighted average shares outstanding:,,,,,,
Basic,,"7,446",,"7,496",,"7,547"
Diluted,,"7,472",,"7,540",,"7,608"
